subject_id,account_id,DATE_REPORTED,currency_code,REPAYMENT_FREQUENCY,NUMBER_OF_INSTALLMENTS,SANCTION_AMT,TOT_OUTSTD_BAL,OVER_DUE_AMT,AMOUNT_OF_INSTALLMENT,DATE_LATEST_PAY_RECEIVED,LAST_AMOUNT_PAID,DATE_ACC_OPEN,DATE_ACC_CLOSE,INSTALMENT_LOAN_TYPE,loan_status,ASSET_CLASSIFICATION,REASON_FOR_CLOSURE,NO_OF_DAYS_PAST_DUE,LOAN_TENURE,EXPECTED_END_DATE_OF_LOAN,CONDITION
1.10113E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,7500000,6151011,0,186394,28-Dec-17,,9-Oct-15,,ConsumerLoan,Existing,,,0,,28-Oct-20,No
1.10116E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,8100000,12186871,0,210118,28-Dec-17,,4-Nov-17,,ConsumerLoan,Existing,,,0,,28-Nov-22,No
1.10114E+17,2.20113E+15,31-Jan-18,TZS,MonthlyInstalments30Days,36,3000000,3883071,3883071,130800,30-Jan-18,,30-Sep-13,30-Aug-16,BusinessLoan,Existing,,,0,,30-Aug-16,No
1.10117E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,36,2500000,3150712,0,95476,28-Dec-17,,18-Sep-17,,ConsumerLoan,Existing,,,0,,28-Sep-20,No
1.10114E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,3200000,1056366,0,81259,28-Dec-17,,27-Jan-14,,ConsumerLoan,Existing,,,0,,27-Jan-19,No
1.10118E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,22000000,29309192,0,523378,20-Dec-17,,23-Aug-17,,ConsumerLoan,Existing,,,0,,28-Aug-22,No
1.10113E+17,2.20113E+15,31-Jan-18,TZS,MonthlyInstalments30Days,60,7600000,4497400,0,247000,30-Jan-18,,28-Feb-15,28-Jan-20,BusinessLoan,Existing,,,0,,28-Jan-20,No
1.10113E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,28,1152967,506692,0,50787,28-Dec-17,,17-Jul-16,,ConsumerLoan,Existing,,,0,,17-Dec-18,No
1.10115E+17,2.20115E+15,31-Jan-18,TZS,MonthlyInstalments30Days,12,2092048,165084,165084,174337,28-Nov-16,,23-Nov-15,,BusinessLoan,Existing,,,401,,7-Jan-18,Yes
1.10114E+17,2.20113E+15,31-Jan-18,TZS,AtTheFinalDayOfThePeriodOfContract,0,2000000,1940000,0,0,30-Jan-18,,1-Jan-00,1-Jan-00,BusinessLoan,Existing,,,0,,11-Jan-23,No
1.10114E+17,2.20116E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,6300000,5883317,0,163425,28-Dec-17,,21-Jan-16,,ConsumerLoan,Existing,,,0,,28-Jan-21,No
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,8300000,11461849,0,229237,28-Dec-17,,14-Feb-17,,ConsumerLoan,Existing,,,0,,28-Feb-22,No
1.10114E+17,2.20116E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,6500000,6744543,0,168614,28-Dec-17,,28-Apr-16,,ConsumerLoan,Existing,,,0,,28-May-21,No
1.10115E+17,2.20115E+15,31-Jan-18,TZS,MonthlyInstalments30Days,36,120000000,0,0,2071233,13-Jan-18,,4-Jun-15,,BusinessLoan,Existing,,,0,,4-Jun-18,No
1.10113E+17,2.20117E+15,8-Jan-18,TZS,MonthlyInstalments30Days,60,16500000,14605239,0,448946,29-Dec-17,,20-Apr-17,5-Apr-22,ConsumerLoan,Existing,,,0,,5-Apr-22,No
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,8200000,10417854,0,226475,28-Dec-17,,16-Nov-16,,ConsumerLoan,Existing,,,0,,28-Nov-21,No
1.10117E+17,2.20117E+15,31-Jan-18,TZS,MonthlyInstalments30Days,6,708000,307,772027,128620,,,6-Jan-17,,ConsumerLoan,Existing,,,0,,6-Jul-17,No
1.10114E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,2100000,1032958,0,53326,28-Dec-17,,25-Aug-14,,ConsumerLoan,Existing,,,0,,28-Aug-19,No
